episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
63,-175.7945556640625,300,0.125,2,1,9,0,1,10,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
64,-153.54420471191406,300,0.125,2,1,1,1,0,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
65,-257.19500732421875,300,0.0,2,0,9,10,2,21,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
66,-109.67478942871094,300,0.25,2,2,2,1,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
67,-111.47389221191406,300,0.375,2,3,17,0,0,17,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
68,-109.37564086914062,300,0.25,2,2,2,0,0,2,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
69,-106.71360778808594,300,0.25,2,2,1,0,0,1,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
70,-83.02191925048828,300,0.375,2,3,3,0,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
71,-122.57768249511719,300,0.25,2,2,0,3,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
72,-67.06962585449219,300,0.5,2,4,1,0,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
73,-117.62970733642578,300,0.125,2,1,0,3,0,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
74,-191.70333862304688,300,0.25,2,2,19,1,0,20,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
75,-164.27330017089844,300,0.125,2,1,4,7,1,12,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
76,-49.65297317504883,300,0.5,2,4,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
77,-127.11551666259766,300,0.0,2,0,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
78,-176.89816284179688,300,0.125,2,1,14,2,0,16,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
79,-168.46400451660156,300,0.125,2,1,10,2,1,13,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
80,-130.75784301757812,300,0.125,2,1,8,0,0,8,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
81,-151.18679809570312,300,0.0,2,0,0,1,0,1,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
82,-74.18901824951172,300,0.125,2,1,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
83,-119.94298553466797,300,0.375,2,3,3,1,0,4,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
84,-84.8653564453125,300,0.375,2,3,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
85,-134.37503051757812,300,0.125,2,1,0,1,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
86,-105.99127960205078,300,0.375,2,3,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
87,-142.01756286621094,300,0.375,2,3,3,1,3,7,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
88,-95.83538055419922,300,0.125,2,1,1,0,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
89,-129.3807830810547,300,0.25,2,2,10,0,1,11,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
90,-101.69284057617188,300,0.375,2,3,4,0,0,4,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
91,-81.28485870361328,300,0.375,2,3,6,0,0,6,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
92,-160.02981567382812,300,0.25,2,2,17,4,2,23,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
93,-145.72637939453125,300,0.25,2,2,11,3,0,14,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
94,-168.416259765625,300,0.0,2,0,0,10,1,11,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
95,-118.11975860595703,300,0.125,2,1,2,0,0,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
96,-133.51223754882812,300,0.0,2,0,2,8,0,10,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
97,-66.28343200683594,300,0.375,2,3,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
98,-105.47679901123047,300,0.375,2,3,0,12,0,12,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
99,-301.7271728515625,300,0.25,2,2,1,13,20,34,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
100,-162.60008239746094,300,0.25,2,2,15,0,2,17,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
101,-82.09591674804688,300,0.25,2,2,1,0,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
102,-83.6501235961914,300,0.25,2,2,0,1,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
103,-76.6355972290039,300,0.25,2,2,1,2,0,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
104,-100.25513458251953,300,0.5,2,4,0,7,5,12,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
105,-252.1402587890625,300,0.25,2,2,8,16,11,35,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
106,-147.42236328125,300,0.125,2,1,0,2,5,7,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
107,-118.60554504394531,300,0.25,2,2,2,2,4,8,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
108,-154.6904754638672,300,0.125,2,1,8,0,0,8,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
109,-41.62102508544922,300,0.5,2,4,0,2,0,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
110,-87.42771911621094,300,0.25,2,2,1,2,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
111,-86.26654052734375,300,0.375,2,3,1,2,2,5,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
112,-111.84739685058594,300,0.125,2,1,2,1,0,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
113,-77.02499389648438,300,0.25,2,2,2,2,0,4,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
114,-62.69371795654297,300,0.375,2,3,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
115,-25.802419662475586,300,0.75,2,6,1,1,0,2,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
116,-125.072998046875,300,0.0,2,0,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
117,-109.06114959716797,300,0.375,2,3,1,0,1,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
118,-100.97297668457031,300,0.375,2,3,7,2,1,10,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
119,-104.3224868774414,300,0.25,2,2,2,3,0,5,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
120,-148.35995483398438,300,0.0,2,0,4,0,0,4,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
121,-232.90670776367188,300,0.125,2,1,22,0,2,24,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
122,-160.0449981689453,300,0.0,2,0,4,0,0,4,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
123,-84.32984924316406,300,0.375,2,3,0,3,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
124,-95.74649047851562,300,0.0,2,0,2,1,0,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
125,-47.31199264526367,300,0.625,2,5,3,1,0,4,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
126,-105.08885192871094,300,0.25,2,2,2,0,1,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
127,-66.19456481933594,300,0.375,2,3,1,1,0,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
128,-96.5114517211914,300,0.25,2,2,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
