episode,success_ratio,reached_count,steps,mean_reward,sum_reward,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_tgt,tanet_loss
18,0.25,1,100,-121.91234588623047,-487.6493835449219,2.3874239921569824,0.5679855346679688,1.9133771657943726,1.0358285903930664,71,16,0,0.36135125160217285
19,0.0,0,100,-185.47659301757812,-741.9063720703125,2.1560921669006348,0.7224469184875488,2.3146979808807373,1.5008392333984375,60,4,0,0.3506564795970917
20,0.25,1,100,-117.71751403808594,-470.87005615234375,0.7875198721885681,0.24006041884422302,1.042400598526001,2.5068869590759277,63,0,0,0.35261839628219604
21,0.0,0,100,-168.52154541015625,-674.086181640625,1.9952812194824219,2.260875701904297,2.5689616203308105,2.2039103507995605,62,66,0,0.35468703508377075
22,0.0,0,100,-187.96865844726562,-751.8746337890625,2.2151758670806885,2.217410087585449,2.552686929702759,2.6688599586486816,56,62,0,0.37920743227005005
23,0.0,0,100,-154.5072021484375,-618.02880859375,1.1900279521942139,1.1972298622131348,2.3830676078796387,1.2294628620147705,59,19,0,0.35757455229759216
24,0.0,0,100,-155.27328491210938,-621.0931396484375,2.7115859985351562,1.3151661157608032,3.1241824626922607,1.1452462673187256,2,119,0,0.40982159972190857
25,0.0,0,100,-132.8931884765625,-531.57275390625,2.4313836097717285,2.6212000846862793,2.1340339183807373,2.214374542236328,0,97,0,0.24326278269290924
26,0.25,1,100,-119.85868072509766,-479.4347229003906,0.8923165202140808,2.441896915435791,1.7660719156265259,1.8744535446166992,0,28,0,0.7030032277107239
27,0.25,1,100,-114.9150390625,-459.66015625,0.6728892922401428,1.9807305335998535,1.8242576122283936,1.277341365814209,0,19,1,0.04169299826025963
28,0.25,1,100,-156.1756591796875,-624.70263671875,0.7996416091918945,0.7706181406974792,2.5493216514587402,2.9617598056793213,0,170,0,0.4390641450881958
29,0.25,1,100,-152.0732879638672,-608.2931518554688,2.004183769226074,0.8088228106498718,1.5576012134552002,1.817868947982788,0,34,0,0.030119940638542175
30,0.0,0,100,-141.59524536132812,-566.3809814453125,3.665116786956787,2.724013328552246,1.1813647747039795,1.8259685039520264,48,29,0,0.3598017394542694
31,0.0,0,100,-198.2155303955078,-792.8621215820312,4.27376127243042,1.263993740081787,2.331956148147583,1.6099897623062134,65,115,2,0.3526897430419922
32,0.25,1,100,-160.64987182617188,-642.5994873046875,2.0686872005462646,1.530053973197937,3.0672316551208496,2.321291923522949,53,92,1,0.3631940484046936
33,0.0,0,100,-190.62081909179688,-762.4832763671875,3.2014405727386475,3.303701877593994,2.4065351486206055,2.7566800117492676,51,116,0,0.35633763670921326
34,0.0,0,100,-207.939208984375,-831.7568359375,1.2797105312347412,1.5526907444000244,1.366328477859497,2.0607025623321533,76,11,0,0.45325329899787903
35,0.25,1,100,-118.08390808105469,-472.33563232421875,1.082707166671753,3.805217981338501,2.8377554416656494,0.9116993546485901,0,63,0,0.020666398108005524
36,0.0,0,100,-109.56782531738281,-438.27130126953125,4.251386642456055,3.9971024990081787,3.287583351135254,1.8983662128448486,0,54,0,0.02262638509273529
37,0.0,0,100,-110.99321746826172,-443.9728698730469,1.7840490341186523,1.3109972476959229,1.928776741027832,2.176149845123291,0,105,0,0.23538625240325928
38,0.0,0,100,-126.6485824584961,-506.5943298339844,2.506074905395508,2.6855628490448,3.4225854873657227,1.1134366989135742,0,73,3,0.4220728576183319
39,0.0,0,100,-212.85281372070312,-851.4112548828125,3.362452507019043,2.626810073852539,2.5346033573150635,3.5947721004486084,35,266,0,0.5872951745986938
