episode,avg_reward,episode_length,high_priority_success,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,uav0_finish,uav1_finish,uav2_finish,uav3_finish
53,-191.67111206054688,300,0.25,15.95487117767334,16.693185806274414,18.56863021850586,6.256382465362549,0,2,4,-1,-1,-1,106
54,-379.3704833984375,300,0.0,15.31237506866455,17.3125057220459,18.330942153930664,11.606915473937988,1,130,4,-1,-1,-1,-1
55,-209.45339965820312,300,0.25,16.347776412963867,16.481142044067383,2.879295825958252,17.393274307250977,0,12,37,-1,-1,300,-1
56,-230.7225341796875,300,0.25,16.46942901611328,0.40331047773361206,17.49291229248047,16.153051376342773,0,9,75,-1,6,-1,-1
57,-413.2388916015625,300,0.25,16.983680725097656,19.789756774902344,17.15155792236328,6.074328422546387,3,205,10,-1,-1,-1,300
58,-180.83558654785156,300,0.25,15.361024856567383,19.416955947875977,17.920644760131836,5.129993438720703,4,12,0,-1,-1,-1,300
59,-146.66943359375,300,0.25,2.1024062633514404,7.973807334899902,16.619312286376953,16.38248062133789,0,14,3,300,-1,-1,-1
60,-253.17489624023438,300,0.25,17.09410858154297,17.236106872558594,7.806034088134766,16.12211036682129,0,21,31,-1,-1,300,-1
61,-296.7734375,300,0.5,17.10971450805664,18.563915252685547,16.057008743286133,16.437334060668945,0,151,12,-1,300,300,-1
62,-249.08978271484375,300,0.25,15.662270545959473,20.00119972229004,18.876195907592773,16.614755630493164,0,65,11,-1,-1,-1,300
63,-204.7250213623047,300,0.25,19.019853591918945,9.259739875793457,3.4701523780822754,16.0571346282959,1,25,71,-1,-1,300,-1
64,-215.61386108398438,300,0.0,16.700462341308594,10.484092712402344,16.40997886657715,14.905729293823242,0,0,4,-1,-1,-1,-1
65,-240.09991455078125,300,0.0,19.63100814819336,7.853240966796875,16.661773681640625,16.41525650024414,0,44,0,-1,-1,-1,-1
66,-218.14425659179688,300,0.0,17.562040328979492,15.748592376708984,16.83688735961914,13.52273178100586,0,21,0,-1,-1,-1,-1
