episode,seed,n_obstacles,steps,windows,completed_high_total,success,avg_reward_episode,uav0_dist,uav1_dist,uav2_dist,uav3_dist,mean_uav_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,total_collisions,collision_rate,uav0_finish,uav1_finish,uav2_finish,uav3_finish,mean_finish_step
13,2036,5,14,1,4,1.0,13.871854782104492,1.106652855873108,0.6417356133460999,0.17299021780490875,0.37078791856765747,0.5730416774749756,0,0,0,0,0.0,14,11,2,5,8.0
14,2037,5,21,1,4,1.0,9.191076278686523,1.5152220726013184,0.936119019985199,0.08654651790857315,0.5402056574821472,0.7695233225822449,0,3,0,3,0.14285714285714285,21,13,1,7,10.5
15,2038,5,23,1,4,1.0,2.5762596130371094,0.9444725513458252,1.697793960571289,1.3676024675369263,0.06172454357147217,1.017898440361023,0,7,0,7,0.30434782608695654,12,23,16,1,13.0
16,2039,5,300,1,3,0.75,-1.0670249462127686,10.185017585754395,0.7060549855232239,0.5807206630706787,1.0504144430160522,3.130551815032959,0,4,0,4,0.013333333333333334,-1,300,300,300,300.0
17,2040,5,23,1,4,1.0,-4.035845756530762,1.8003208637237549,0.2482835203409195,0.7715533971786499,1.312097191810608,1.0330637693405151,0,13,0,13,0.5652173913043478,23,3,10,16,13.0
18,2041,5,25,1,4,1.0,6.435133934020996,0.2769187092781067,0.43225178122520447,2.1101508140563965,0.6728278994560242,0.8730372786521912,0,4,0,4,0.16,4,5,25,9,10.75
19,2042,5,34,1,4,1.0,-2.7928731441497803,1.9392856359481812,1.96514093875885,2.5340185165405273,0.5460900664329529,1.746133804321289,0,6,0,6,0.17647058823529413,24,27,34,8,23.25
0,2023,6,18,1,4,1.0,10.765779495239258,1.4657607078552246,0.3459266126155853,1.2369375228881836,1.4146943092346191,1.1158298254013062,0,1,0,1,0.05555555555555555,18,5,15,18,14.0
1,2024,6,17,1,4,1.0,7.224798202514648,0.5077953934669495,1.1967899799346924,0.6903390884399414,0.6928885579109192,0.7719532251358032,0,5,0,5,0.29411764705882354,6,17,9,9,10.25
2,2025,6,15,1,4,1.0,5.558037757873535,0.5317876935005188,1.0730631351470947,0.31076493859291077,1.1943254470825195,0.7774852514266968,0,6,0,6,0.4,7,15,4,14,10.0
3,2026,6,21,1,4,1.0,11.598970413208008,1.6150989532470703,0.7250959873199463,0.3998110294342041,1.4158165454864502,1.0389556884765625,0,0,0,0,0.0,21,9,5,18,13.25
4,2027,6,18,1,4,1.0,8.842175483703613,0.4024680256843567,1.4332716464996338,1.180905818939209,0.5528095960617065,0.8923637866973877,0,3,0,3,0.16666666666666666,7,18,14,7,11.5
5,2028,6,18,1,4,1.0,10.201778411865234,0.8824355006217957,1.3395429849624634,0.6111944913864136,0.8827439546585083,0.9289791584014893,0,2,0,2,0.1111111111111111,11,18,8,11,12.0
6,2029,6,35,1,4,1.0,-14.032831192016602,2.7961642742156982,1.1608176231384277,2.2466259002685547,0.7510765790939331,1.738671064376831,0,16,0,16,0.45714285714285713,35,14,28,10,21.75
7,2030,6,16,1,4,1.0,6.977270126342773,0.6601898670196533,0.6481826305389404,1.2361646890640259,0.9141440391540527,0.8646702766418457,0,5,0,5,0.3125,9,8,16,12,11.25
8,2031,6,9,1,4,1.0,14.114812850952148,0.7481459379196167,0.4321267604827881,0.6759337186813354,0.4720093607902527,0.5820539593696594,0,0,0,0,0.0,9,5,8,6,7.0
9,2032,6,29,1,4,1.0,6.001874923706055,0.4504499137401581,2.0864429473876953,0.3673359751701355,0.8060775995254517,0.9275766611099243,0,4,0,4,0.13793103448275862,6,29,6,11,13.0
10,2033,6,22,1,4,1.0,-0.19797873497009277,1.5973620414733887,0.9195759296417236,1.3708446025848389,1.2894750833511353,1.2943143844604492,0,8,0,8,0.36363636363636365,22,12,19,19,18.0
11,2034,6,38,1,4,1.0,7.79364538192749,0.30530112981796265,2.624082088470459,0.549665629863739,0.6322787404060364,1.0278319120407104,0,1,0,1,0.02631578947368421,4,38,7,8,14.25
12,2035,6,22,1,4,1.0,9.812274932861328,1.0421828031539917,0.4783923625946045,0.7431772947311401,1.701205849647522,0.9912395477294922,0,2,0,2,0.09090909090909091,13,6,10,22,12.75
13,2036,6,17,1,4,1.0,11.7794189453125,0.5181117057800293,1.1377975940704346,0.1728757917881012,0.9425901770591736,0.6928437948226929,0,1,0,1,0.058823529411764705,6,17,2,11,9.0
14,2037,6,13,1,4,1.0,9.436004638671875,0.879260241985321,0.8454757332801819,0.3010503053665161,0.8834944367408752,0.7273201942443848,0,3,0,3,0.23076923076923078,12,13,5,11,10.25
15,2038,6,17,1,4,1.0,13.324003219604492,0.9746211171150208,0.4753386676311493,1.2754106521606445,0.06172454357147217,0.6967737674713135,0,0,0,0,0.0,13,7,17,1,9.5
16,2039,6,15,1,4,1.0,13.236717224121094,1.1271498203277588,0.7143806219100952,0.5841416120529175,0.9983991980552673,0.8560178279876709,0,0,0,0,0.0,15,10,7,12,11.0
17,2040,6,24,1,4,1.0,11.33066463470459,0.8226061463356018,0.2444729208946228,1.9926064014434814,1.1164690256118774,1.0440386533737183,0,0,0,0,0.0,10,3,24,15,13.0
18,2041,6,35,1,4,1.0,8.011865615844727,0.359455406665802,0.963367760181427,1.6064233779907227,2.2613112926483154,1.2976393699645996,0,0,0,0,0.0,5,13,19,35,18.0
19,2042,6,27,1,4,1.0,8.248147010803223,2.155864953994751,1.8328604698181152,1.0591206550598145,0.4155263602733612,1.3658430576324463,0,0,0,0,0.0,26,27,13,7,18.25
