episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
155,-113.70106506347656,300,0.375,2,3,14,0,0,14,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
156,-113.0655517578125,300,0.375,2,3,3,2,0,5,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
157,-100.72368621826172,300,0.25,2,2,1,1,0,2,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
158,-104.1487045288086,300,0.125,2,1,0,3,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
159,-115.73873138427734,300,0.25,2,2,0,0,0,0,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
160,-86.01068878173828,300,0.25,2,2,0,0,0,0,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
161,-165.67755126953125,300,0.0,2,0,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
162,-160.93006896972656,300,0.25,2,2,11,0,0,11,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
163,-97.69258117675781,300,0.25,2,2,1,1,0,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
164,-263.26470947265625,300,0.25,2,2,0,43,0,43,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
165,-246.82907104492188,300,0.125,2,1,9,23,0,32,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
166,-191.34219360351562,300,0.0,2,0,0,3,2,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
167,-108.16757202148438,300,0.375,2,3,5,1,0,6,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
168,-139.1389617919922,300,0.125,2,1,0,0,1,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
169,-210.30409240722656,300,0.0,2,0,0,5,0,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
170,-151.79672241210938,300,0.0,2,0,10,0,0,10,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
171,-112.59251403808594,300,0.25,2,2,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
172,-222.57772827148438,300,0.375,2,3,3,10,14,27,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
173,-143.3292236328125,300,0.125,2,1,0,1,1,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
174,-103.20208740234375,300,0.25,2,2,1,1,0,2,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
175,-146.96702575683594,300,0.0,2,0,1,1,0,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
176,-130.49124145507812,300,0.0,2,0,0,0,1,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
177,-100.85243225097656,300,0.25,2,2,1,2,0,3,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
178,-216.39443969726562,300,0.0,2,0,13,1,2,16,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
179,-296.8930969238281,300,0.125,2,1,0,0,23,23,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
180,-54.211395263671875,300,0.5,2,4,0,0,0,0,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
181,-143.5944061279297,300,0.125,2,1,9,2,0,11,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
182,-189.16473388671875,300,0.0,2,0,3,1,0,4,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
183,-115.367431640625,300,0.25,2,2,1,1,0,2,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
184,-63.38935089111328,300,0.5,2,4,0,2,1,3,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
185,-111.17708587646484,300,0.25,2,2,1,1,0,2,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
186,-161.8837890625,300,0.25,2,2,10,0,0,10,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
